brand,name,type,country,ingredients,afterUse
Sephora Collection,Ultra Glow Toner with Vitamins C + E,Toner,France,"[Water,Polysorbate 20,Propanediol,Ascorbyl Glucoside,Glycerin,Arginine,Maris Aqua,Pentylene Glycol,Sodium Levulinate,Sodium Citrate,1,2-Hexanediol,Caprylyl Glycol,Sodium Benzoate,Levulinic Acid,Citric Acid,Ceratonia Siliqua Gum,Helianthus Annuus Seed Oil,Tocopherol,Xanthan Gum]","[Redness Reducing,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Brightening,Drying,Irritating]"
Ishizawa Labs,Sukoyaka Suhada Urea Moisture Lotion,Toner,Japan,"[Water,Glycerin,Dipropylene Glycol,Pentylene Glycol,Urea,Ceramide Ng,Sodium Hyaluronate,Sodium Acetylated Hyaluronate,Hydrolyzed Hyaluronic Acid,Hydroxyethyl Urea,Anthemis Nobilis Flower Oil,Erica Cinerea Flower Extract,Chamomilla Recutita Flower,Calendula Officinalis Flower Extract,Centaurea Cyanus Flower Water,Pyrus Malus Fruit Extract,Pinus Pinaster Leaf Extract,Citrus Grandis Fruit Water,Glycyrrhizic Acid,Sodium Citrate,Lactic Acid,Butylene Glycol,Ppg-4-Ceteth-20,Alcohol Denat.,Phenoxyethanol]","[Redness Reducing,Reduces Irritation,Reduces Large Pores,Anti-Aging,Drying,Irritating,Rosacea,Eczema]"
SKIN1004,Madagascar Centella Poremizing Clear Toner,Toner,South Korea,"[Centella Asiatica Extract 50.47%,Water,Propanediol,1,2-Hexanediol,Glycerin,Hydroxyacetophenone,Betaine,Mineral Salts,Panthenol,Ethylhexylglycerin,Sodium Polyacryloyldimethyl Taurate,Disodium EDTA,Butylene Glycol,Salix Alba Bark Extract,Castanea Crenata Shell Extract,Lavandula Angustifolia Flower Extract,Hyaluronic Acid,Hydrolyzed Hyaluronic Acid,Sodium Hyaluronate,Allantoin,Citric Acid,Capryloyl Salicylic Acid,Gluconolactone,Sodium Citrate,Salicylic Acid,Glycolic Acid]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Skin Texture,Reduces Large Pores,Anti-Aging,Scar Healing,Acne Fighting,Brightening,Drying,Irritating,Rosacea,Eczema]"
Dermoskin,Be Bright Lightening Tonic,Toner,Turkey,"[Water,Propylene Glycol,Polysorbate 20,Niacinamide,Glycerin,Calcium Ascorbate,Panthenol,Glycyrrhiza Glabra Root Extract,Sodium Hyaluronate,Allantoin,Benzyl Alcohol,Phenoxyethanol,Caprylyl Glycol,Tetrasodium EDTA]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Skin Texture,Anti-Aging,Dark Spots,Acne Fighting,Brightening]"
Skincare by Dr V,Super Hydrating Toner,Toner,United Kingdom,"[Water,Glycerin,Niacinamide,Urea,Panthenol,Buddleja Davidii Leaf Cell Culture Extract,Allantoin,Centella Asiatica Extract,Pantolactone,Lactic Acid,Xanthan Gum,Ethylhexylglycerin,Phenoxyethanol,Citric Acid,Potassium Sorbate,Sodium Benzoate]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Reduces Large Pores,Anti-Aging,Acne Fighting,Brightening,Drying,Irritating,Rosacea,Eczema]"
Loli Beauty,Blue Cornflower Micellar Water,Toner,,"[Hydroxytyrosol,Hamamelis Virginiana Water,Glycerin,Alcohol,Malachite Extract]",[Rosacea]
La Prairie,Cellular Softening & Balancing Lotion,Toner,Switzerland,"[Water,Dipropylene Glycol,Butylene Glycol,Glycerin,Peg-9,Ppg-26-Buteth-26,Glycoproteins,Panax Ginseng Root Extract,Equisetum Arvense Extract,Propylene Glycol,Peg-40 Hydrogenated Castor Oil,Hamamelis Virginiana Leaf Extract,Borago Officinalis Seed Oil,Lactobacillus Ferment,Bisabolol,Retinyl Palmitate,Ascorbyl Palmitate,Tocopheryl Acetate,Saccharomyces Cerevisiae Extract,Hydroxyethylcellulose,Ethylhexyl Methoxycinnamate,Tocopherol,Caprylic Acid,Lecithin,Disodium EDTA,Ethylhexylglycerin,Citric Acid,Alcohol,Sodium Hydroxide,Parfum,Limonene,Alpha-Isomethyl Ionone,Geraniol,Citronellol,Phenoxyethanol,Ci 17200]","[Hydrating,Good For Oily Skin,Redness Reducing,Reduces Irritation,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Scar Healing,Acne Fighting,Brightening,Drying,Irritating,Rosacea]"
maru.derm,Pore Minimizing & Anti-Acne BHA Toner,Toner,Turkey,"[Water,Glycerin,Isopentyldiol,Niacinamide,Salicylic Acid,Panthenol,Chamomilla Recutita Flower Extract,Aloe Barbadensis Leaf Extract,Arginine,Aspartic Acid,PCA,Glycine,Alanine,Serine,Valine,Proline,Threonine,Isoleucine,Histidine,Phenylalanine,Hydrolyzed Wheat Protein,Hydrolyzed Soy Protein,Avena Sativa Meal Extract,Sodium Benzoate,Potassium Sorbate,Sodium PCA,Sodium Lactate,Propylene Glycol,Lauryl Glucoside,Cocamidopropyl Betaine,Peg-6 Caprylic/Capric Glycerides,Tetrasodium EDTA]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Reduces Large Pores,Acne Fighting,Brightening,Drying,Irritating,Eczema]"
Makeup Artist's Choice,Cucumber Toner - 96% Organic Content,Toner,United States,"[Aloe Barbadensis Leaf Juice,Cucumis Sativus Oil,Hamamelis Virginiana Water,Phenoxyethanol,Salix Nigra Bark Extract,Polysorbate 80,Melaleuca Alternifolia Leaf Oil,Tetrasodium EDTA,Citric Acid]","[Good For Oily Skin,Reduces Large Pores,Drying,Irritating]"
Grown Alchemist,Balancing Toner,Toner,Australia,"[Water,Heptyl Glucoside,Aloe Barbadensis Leaf Extract,Glycerin,Panax Ginseng Root Extract,Lactic Acid,Olea Europaea Leaf Extract,Chamomilla Recutita Flower Extract,Rosa Damascena Flower Oil,Benzyl Alcohol,Dehydroacetic Acid,Sodium Phytate,Citrus Aurantium Bergamia Fruit Oil,Chamomilla Recutita Flower Oil,Geraniol,Citronellol]","[Reduces Irritation,Reduces Large Pores,Anti-Aging,Drying,Irritating,Rosacea,Eczema]"
The INKEY List,Polyhydroxy Acid (PHA) Toner,Toner,United Kingdom,"[Water,Propanediol,Gluconolactone,Niacinamide,Pentylene Glycol,Glycerin,Aloe Barbadensis Leaf Juice,Potassium Sorbate,Sodium Benzoate,Ppg-26-Buteth-26,Peg-40 Hydrogenated Castor Oil,1,2-Hexanediol,Caprylyl Glycol,Ethylhexylglycerin,Citric Acid,Sodium Hydroxide]","[Good For Oily Skin,Redness Reducing,Acne Fighting,Brightening]"
cleen beauty,PHA Face Toner,Toner,United States,"[Water,Hamamelis Virginiana Water,Butylene Glycol,Glycerin,Gluconolactone,Niacinamide,Squalane,Salicylic Acid,Salix Alba Bark Extract,Sea Water,Cereus Grandiflorus Flower Extract,Melia Azadirachta Flower Extract,Melia Azadirachta Leaf Extract,Opuntia Vulgaris Extract,Hydrogenated Lecithin,Sodium Benzoate,Potassium Sorbate,Benzoic Acid,Amylopectin,Polydextrose,Dextrin]","[Good For Oily Skin,Redness Reducing,Reduces Large Pores,Acne Fighting,Brightening,Drying,Irritating,Eczema]"
L'Oreal,HydraFresh Toner,Toner,France,"[Water,Glycerin,Alcohol,Butylene Glycol,Sodium Chloride,Sodium Citrate,Dipotassium Phosphate,Panthenol,Ppg-26-Buteth-26,Potassium Phosphate,Citric Acid,Benzophenone-4,Disodium EDTA,Peg-40 Hydrogenated Castor Oil,Capryloyl Salicylic Acid,Rosa Centifolia Flower Water,Diazolidinyl Urea,Ci 14700,Ci 17200,Parfum,Limonene,Linalool,Benzyl Benzoate,Alpha-Isomethyl Ionone,Hydroxycitronellal,Ceramide AP]","[Reduces Irritation,Reduces Large Pores,Drying,Acne Trigger,Irritating,Rosacea,Eczema]"
La Roche-Posay,Effaclar Clarifying Solution Acne Toner,Toner,France,"[Water,Alcohol Denat.,Glycerin,Sodium Citrate,Propylene Glycol,Peg-60 Hydrogenated Castor Oil,Disodium EDTA,Capryloyl Salicylic Acid,Citric Acid,Salicylic Acid,Parfum]","[Reduces Large Pores,Acne Fighting,Brightening,Drying,Irritating,Eczema]"
L'Oreal,Men Expert Hydra Power Water Lotion,Toner,France,"[Water,Sodium Laureth Sulfate,Coco-Betaine,Glycerin,Sodium Chloride,Mentha Piperita Extract,Ppg-5-Ceteth-20,Sodium Hydroxide,Ascorbyl Glucoside,Citric Acid,Menthol,Polyquaternium-7,Sodium Benzoate]","[Redness Reducing,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Brightening,Drying,Acne Trigger,Irritating,Rosacea]"
NourishMax,Botanical Blend Brightening Toner,Toner,United States,"[Water,Hamamelis Virginiana Water,Propanediol,Calendula Officinalis Flower Extract,Equisetum Arvense Extract,Glycyrrhiza Glabra Root Extract,Lavandula Angustifolia Flower Extract,Symphytum Officinale Leaf Extract,Citrus Limon Peel Extract,Arctium Lappa Root Extract,Aesculus Hippocastanum Seed Extract,Arnica Montana Flower Extract,Centella Asiatica Extract,Fucus Vesiculosus Extract,Ilex Paraguariensis Leaf Extract,Hedera Helix Extract,Sodium Hyaluronate,Glycerin,Pentylene Glycol,Phenethyl Alcohol,Benzoic Acid,Phenoxyethanol,Ethylhexylglycerin,Potassium Sorbate,Sodium Benzoate,Tetrasodium EDTA]","[Hydrating,Redness Reducing,Reduces Irritation,Eczema]"
Mizon,Vita Lemon Sparkling Toner,Toner,South Korea,"[Water,Panthenol,Alcohol,Butylene Glycol,Glycerin,1,2-Hexanediol,Zinc Carbonate,Citrus Limon Fruit Extract,Sodium Hyaluronate,Phenyl Trimethicone,Acrylates Copolymer,Potassium Hydroxide,Peg-60 Hydrogenated Castor Oil,Coptis Japonica Extract,Allantoin,Portulaca Oleracea Extract,Beta-Glucan,Betula Platyphylla Japonica Juice,Hamamelis Virginiana Leaf Extract,Carica Papaya Fruit Extract,Propylene Glycol,Hedera Helix Extract,Paeonia Albiflora Root Extract,Convallaria Majalis Bulb/Root Extract,Magnolia Liliflora Flower Extract,Lilium Candidum Flower Extract,Leontopodium Alpinum Flower/Leaf Extract,Ascorbic Acid,Sodium Ascorbyl Phosphate,Citrus Limon Peel Oil,Citrus Grandis Peel Oil,Parfum]","[Redness Reducing,Reduces Irritation,Skin Texture,Anti-Aging,Dark Spots,Brightening,Rosacea]"
First Aid Beauty,Ultra Repair Wild Oat Hydrating Toner,Toner,United States,"[Water,Glycerin,Glycereth-26,Squalane,Sorbitan Oleate,Avena Strigosa Seed Extract,Honey,Saccharomyces/Honey Ferment Filtrate,Sodium Hyaluronate,Avena Sativa Kernel Extract,Propolis Extract,Glycyrrhiza Glabra Root Extract,Chrysanthemum Parthenium Extract,Camellia Sinensis Leaf Extract,Beta-Glucan,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Leuconostoc/Radish Root Ferment Filtrate,Xanthan Gum,Ethylhexylglycerin,Ethylhexyl Salicylate,Phenoxyethanol,Sodium Hydroxide,Citric Acid,Potassium Sorbate,Sodium Benzoate,Chlorphenesin,Sorbic Acid,Benzoic Acid]","[Reduces Large Pores,Scar Healing,Drying,Acne Trigger,Irritating,Rosacea,Eczema]"
Su:m37,Time Energy Resetting Toner,Toner,Singapore,"[Water,Glycerin,Dipropylene Glycol,Triethylhexanoin,Butylene Glycol,Abies Alba Seed Extract,1,2-Hexanediol,Dimethicone,Lactarius Hatsudake Fruiting Body Extract,Maltodextrin,Lactobacillus/Ampelocissus Martini Fruit/Lavender Flower/Rosa Canina Fruit/Rosemary Leaf/Sage Leaf/Thyme Leaf Extract Ferment Filtrate,Acinetobacter Ferment,Beta-Glucan,Panthenol,Betaine,Glycosyl Trehalose,Citrus Aurantifolia Oil,Pelargonium Roseum Leaf Oil,Vitis Vinifera Leaf Oil,Hydrogenated Starch Hydrolysate,Squalane,Dipentaerythrityl Hexa C5-9 Acid Esters,Propylene Glycol,2-Hydroxypropyl Acrylate,Acrolein/Acrylic Acid Copolymer,Carbomer,Acrylates Copolymer,Tromethamine,Trisodium EDTA,Mica,Titanium Dioxide,Ci 77492,Polysorbate 60,Limonene]","[Reduces Irritation,Eczema]"
Isntree,Green Tea Fresh Toner,Toner,South Korea,"[Camellia Sinensis Leaf Extract 80%,Water,Ginkgo Biloba Leaf Extract,Centella Asiatica Extract,Salix Alba Bark Extract,Vaccinium Angustifolium Fruit Extract,Pinus Palustris Leaf Extract,Ulmus Davidiana Root Extract,Oenothera Biennis Flower Extract,Pueraria Lobata Root Extract,Hydrolyzed Hyaluronic Acid,Ammonium Acryloyldimethyltaurate/Vp Copolymer,Allantoin,Dipotassium Glycyrrhizate,Beta-Glucan,Disodium EDTA,Hydroxyacetophenone]",[Redness Reducing]
Paula's Choice,Moisture Boost Essential Hydrating Toner,Toner,United States,"[Water,Glycerin,Pentylene Glycol,Polysorbate 20,Superoxide Dismutase,Camellia Sinensis Leaf Extract,Epilobium Angustifolium Flower/Leaf/Stem Extract,Vitis Vinifera Seed Extract,Sodium PCA,Creatine,Lecithin,Linoleic Acid,Linolenic Acid,Sodium Peg-7 Olive Oil Carboxylate,Magnesium Ascorbyl Phosphate,Tocopheryl Acetate,Butylene Glycol,Panthenol,Allantoin,Peg-4,Hydroxyethylcellulose,Phenoxyethanol]","[Hydrating,Redness Reducing,Reduces Irritation,Skin Texture,Anti-Aging,Dark Spots,Brightening,May Worsen Oily Skin,Acne Trigger]"
Round Lab,Pine Tree Soothing Cica Lotion,Toner,South Korea,"[Water,Pinus Densiflora Leaf Extract,Propanediol,1,2-Hexanediol,Glycerin,Cetyl Ethylhexanoate,Centella Asiatica Extract,Hyaluronic Acid,Hydrolyzed Hyaluronic Acid,Sodium Hyaluronate,Melia Azadirachta Leaf Extract,Butylene Glycol,Ethylhexylglycerin,Glycoproteins,Melia Azadirachta Flower Extract,Theobroma Cacao Seed Extract,Cetearyl Olivate,Asiaticoside,Asiatic Acid,Madecassoside,Madecassic Acid,Capryloyl Salicylic Acid,C12-20 Alkyl Glucoside,Ammonium Polyacryloyldimethyl Taurate,Hydrogenated Polydecene,Dextrin,Vinyl Dimethicone,Sorbitan Olivate,Carbomer,C14-22 Alcohols,Disodium EDTA,Tromethamine]","[Hydrating,Good For Oily Skin,Redness Reducing,Skin Texture,Anti-Aging,Scar Healing,Brightening,Irritating]"
Madara,Purifying Toner for Oily Skin,Toner,Latvia,"[Water,Rosa Damascena Flower Water,Alcohol,Glycerin,Acorus Calamus Root Extract,Cucumis Sativus Fruit Extract,Betaine,Quercus Robur Bark Extract,Salvia Officinalis Leaf Extract,Salicylic Acid]","[Good For Oily Skin,Reduces Large Pores,Acne Fighting,Brightening,Drying,Irritating,Rosacea,Eczema]"
Aesop,B & Tea Balancing Toner,Toner,Australia,"[Water,Aloe Barbadensis Leaf Juice,Polysorbate 80,Hamamelis Virginiana Water,Sodium Gluconate,Sodium Lactate,Benzyl Alcohol,Phenoxyethanol,Sorbitol,Panthenol,Cananga Odorata Flower Oil,Disodium EDTA,Sodium Citrate,Benzoic Acid,Camellia Sinensis Leaf Extract,Benzalkonium Chloride,Dehydroacetic Acid,Ethylhexylglycerin,Citric Acid,Linalool,Benzyl Benzoate,Benzyl Salicylate,Farnesol,Geraniol,Eugenol,Isoeugenol]","[Hydrating,Reduces Irritation,Reduces Large Pores,Drying,Irritating,Eczema]"
UNPA,Lacto Cica Soothing Toner,Toner,South Korea,"[Centella Asiatica Extract 45.77%,Water,Propanediol,Glycerin,Pentylene Glycol,Butylene Glycol,Centella Asiatica Leaf Extract,Madecassoside,Asiaticoside,Bifida Ferment Filtrate,Bifida Ferment Lysate,Lactobacillus Ferment Lysate,Lactococcus Ferment Lysate,Saccharomyces Ferment Filtrate,Sodium Hyaluronate,Hydrolyzed Hyaluronic Acid,Hyaluronic Acid,Sodium Hyaluronate Crosspolymer,Panthenol,Chlorella Vulgaris Extract,Melaleuca Alternifolia Leaf Oil,Fructooligosaccharides,Fructose,Betaine,Hydrogenated Lecithin,Hydrolyzed Glycosaminoglycans,Glycereth-26,Methyl Gluceth-20,Trehalose,Glucose,Polyglyceryl-10 Laurate,1,2-Hexanediol,Diphenyl Dimethicone,Triethylhexanoin,Octanediol,Ethylhexylglycerin,Sodium Citrate,Citric Acid,Tocopherol,Benzyl Glycol,Xanthan Gum]","[Hydrating,Good For Oily Skin,Redness Reducing,Reduces Irritation,Skin Texture,Anti-Aging,Scar Healing,Brightening,Irritating]"
The Creme Shop,Hello Kitty Klean Beauty Pure Cure Strawberry Milk Toner,Toner,United States,"[Water,Cetyl Ethylhexanoate,Propanediol,Hydrogenated Polydecene,1,2-Hexanediol,Glycerin,Peg-60 Hydrogenated Castor Oil,Niacinamide,Ethylhexylglycerin,Polyglyceryl-3 Diisostearate,Panthenol,Allantoin,Sodium Hyaluronate,Tocopheryl Acetate,Eclipta Prostrata Extract,Hydrogenated Lecithin,Ceramide NP,Cholesterol,Schisandra Chinensis Fruit Extract,Lithospermum Erythrorhizon Root Oil,Lycium Chinense Fruit Extract,Brassica Campestris Seed Oil,Stearic Acid,Melia Azadirachta Leaf Extract,Dextrin,Asiatic Acid,Coccinia Indica Fruit Extract,Vaccinium Macrocarpon Fruit Extract,Punica Granatum Fruit Extract,Fragaria Vesca Leaf Extract,Rubus Idaeus Fruit Extract,Vitis Vinifera Fruit Extract,Wine Extract,Euterpe Oleracea Fruit Extract,Morus Alba Fruit Extract,Rubus Coreanus Fruit Extract,Vaccinium Angustifolium Fruit Extract,Solanum Melongena Fruit Extract,Corallina Officinalis Extract,Curcuma Longa Root Extract,Ocimum Sanctum Leaf Extract,Glycyrrhiza Glabra Root Extract,Astragalus Membranaceus Root Extract,Cinnamomum Cassia Bark Extract,Panax Ginseng Root Extract,Cnidium Officinale Root Extract,Angelica Gigas Root Extract,Rehmannia Glutinosa Root Extract,Atractylodes Japonica Rhizome Extract,Poria Cocos Extract,Prunus Mume Flower Extract,Oenothera Biennis Seed Extract,Paeonia Lactiflora Root Extract,Parfum]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Anti-Aging,Acne Fighting,Brightening,May Worsen Oily Skin]"
Some By Mi,Galactomyces Pure Vitamin C Glow Toner,Toner,South Korea,"[Galactomyces Ferment Filtrate,Butylene Glycol,Niacinamide,Glycerin,Ascorbic Acid,Tromethamine,C12-14 Pareth-12,Water,Allantoin,Cellulose Gum,Ethylhexylglycerin,Adenosine,Hydrogenated Lecithin,Polyglyceryl-10 Stearate,Panthenol,Sodium Ascorbyl Phosphate,Phenylethyl Resorcinol,Propolis Extract,Aronia Melanocarpa Fruit Extract,Aspalathus Linearis Extract,Bambusa Vulgaris Extract,Maltodextrin,Saccharide Hydrolysate,Ficus Carica Fruit Extract,Phoenix Dactylifera Fruit Extract,Tuber Magnatum Extract,Biotin,Folic Acid,Houttuynia Cordata Extract,Pyridoxine,Opuntia Coccinellifera Fruit Extract,Opuntia Ficus-Indica Extract,Caprylic/Capric Triglyceride,Adansonia Digitata Seed Extract,Leuconostoc/Radish Root Ferment Filtrate,Calendula Officinalis Flower Extract,Sparassis Crispa Extract,Cyanocobalamin,Tocopherol,Euterpe Oleracea Fruit Extract,Ribes Nigrum Fruit Extract,Rubus Fruticosus Fruit Extract,Rubus Idaeus Fruit Extract,Vaccinium Angustifolium Fruit Extract,Vaccinium Macrocarpon Fruit Extract,Vaccinium Myrtillus Fruit Extract,Spirulina Maxima Extract,Astaxanthin,Inositol,Linoleic Acid,Thiamine Hcl,Disodium EDTA,Citrus Aurantium Bergamia Fruit Oil,Limonene,Lavandula Angustifolia Oil,Linalool,Caramel]","[Hydrating,Good For Oily Skin,Redness Reducing,Reduces Irritation,Skin Texture,Anti-Aging,Dark Spots,Scar Healing,Acne Fighting,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating]"
Logically Skin,Aquatide Multi-Purpose Toner Mist,Toner,South Korea,"[Water,Propanediol,Methylpropanediol,1,2-Hexanediol,Glycerin,Niacinamide,Ppg-13-Decyltetradeceth-24,Carbomer,Tromethamine,Adenosine,Lavandula Angustifolia Oil,Disodium EDTA,Heptasodium Hexacarboxymethyl Dipeptide-12,Betaine,Allantoin,Butylene Glycol,Mentha Arvensis Leaf Oil,Camellia Japonica Flower Extract,Morus Alba Root Extract,Tocopherol,Linalool]","[Good For Oily Skin,Redness Reducing,Acne Fighting,Brightening]"
The Saem,Urban Eco Harakeke Toner,Toner,South Korea,"[Phormium Tenax Extract,Peg/Ppg-17/6 Copolymer,Butylene Glycol,Glycereth-26,Peg-32,Honey,Calendula Officinalis Flower,Echinacea Angustifolia Root Cell Culture Extract,Peg-240/Hdi Copolymer Bis-Decyltetradeceth-20 Ether,Hydrogenated Lecithin,Glycerin,Dimethicone,Sucrose Distearate,Bis-Peg-18 Methyl Ether Dimethyl Silane,Peg-60 Hydrogenated Castor Oil,Peg-12 Glyceryl Laurate,Peg-36 Castor Oil,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Phenoxyethanol,Potassium Hydroxide,Chlorphenesin,Disodium EDTA,Parfum]",[Scar Healing]
Mamaearth,Skin Illuminate Face Serum for Radiant Skin with Vitamin C & Turmeric,Toner,India,"[Water,Ethoxydiglycol,Magnesium Ascorbyl Phosphate,Nymphaea Alba Flower Extract,Triheptanoin,Butylene Glycol,Sodium Iodide,Sodium Hydroxide,Sophora Flavescens Root Extract,Glycyrrhiza Inflata Root Extract,Scutellaria Baicalensis Root Extract,Acrylates Crosspolymer,Diethylhexyl Carbonate,Glycerin,Squalane,Caprylhydroxamic Acid,Behenyl Alcohol,Physalis Angulata Extract,Tetrahydrocurcumin,Cetyl Ricinoleate,Caesalpinia Spinosa Gum,Sodium Hyaluronate,Dimethylmethoxy Chromanol,Sodium Metabisulfite]","[Redness Reducing,Skin Texture,Anti-Aging,Dark Spots,Scar Healing,Brightening]"
Provence Beauty,Sugar Plum Exfoliating Facial Toner,Toner,,"[Water,Lavandula Angustifolia Flower Extract,Hamamelis Virginiana Water,Propanediol,Terminalia Ferdinandiana Fruit Extract,Saccharum Officinarum Extract,Acer Saccharum Extract,Citrus Limon Peel,Citrus Aurantium Dulcis Oil,Salix Alba Bark Extract,Lactic Acid,Glycolic Acid,Tartaric Acid,Malic Acid,Citric Acid,Malachite,Rubus Idaeus Leaf Extract,Pinus Pinaster Bark Extract,Rosa Rugosa Flower Extract,Actinidia Chinensis Fruit Extract,Melia Azadirachta Flower Extract,Citrus Iyo Fruit Extract,Caprylhydroxamic Acid,1,2-Hexanediol,Benzoic Acid,Sodium Benzotriazolyl Butylphenol Sulfonate]","[Good For Oily Skin,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Brightening,Drying,Irritating,Rosacea,Eczema]"
Burt's Bees,Calming Toner with Witch Hazel & Rose,Toner,United States,"[Water,Glycerin,Hamamelis Virginiana Water,Propanediol,Rosa Centifolia Flower Extract,Aloe Barbadensis Leaf Juice,Sodium Cocoyl Glutamate,Citric Acid,Glyceryl Caprylate,Polyglyceryl-6 Oleate,Sodium Surfactin,Sodium PCA,Caprylyl/Capryl Glucoside,Parfum,Sodium Benzoate,Potassium Sorbate,Phenoxyethanol]","[Reduces Large Pores,Drying,Irritating]"
Doa Kozmetik,Cadı Fındığı Tonik Witch Hazel,Toner,Turkey,"[Water,Hamamelis Virginiana Leaf Extract,Sodium Lactate,Sodium PCA,Lactic Acid,Phenoxyethanol,Caprylyl Glycol]","[Reduces Large Pores,Anti-Aging,Drying,Irritating,Rosacea,Eczema]"
Paula's Choice,Calm Redness Relief Toner for Normal to Oily Skin,Toner,United States,"[Water,Butylene Glycol,Polysorbate 20,Glycerin,Avena Sativa Kernel Extract,Beta-Glucan,Sea Whip Extract,Boerhavia Diffusa Root Extract,Panthenol,Epigallocatechin Gallate,Gellan Gum,Phytic Acid,Disodium EDTA,Ethylhexylglycerin,Potassium Sorbate]",[Reduces Irritation]
Some By Mi,AHA BHA PHA 30 Days Miracle Toner,Toner,South Korea,"[Water,Butylene Glycol,Dipropylene Glycol,Glycerin,Niacinamide,Melaleuca Alternifolia Leaf Extract,Polyglyceryl-4 Caprate,Carica Papaya Fruit Extract,Lens Esculenta Seed Extract,Hamamelis Virginiana Extract,Nelumbo Nucifera Flower Extract,Swiftlet Nest Extract,Sodium Hyaluronate,Fructan,Allantoin,Adenosine,Hydroxyethyl Urea,Xylitol,Salicylic Acid,Lactobionic Acid,Citric Acid,Sodium Citrate,1,2-Hexanediol,Pentylene Glycol,Caprylyl Glycol,Benzyl Glycol,Ethylhexylglycerin,Ethyl Hexanediol,Raspberry Ketone,Phenoxyethanol,Mentha Piperita Oil]","[Good For Oily Skin,Redness Reducing,Reduces Large Pores,Acne Fighting,Brightening,Drying,Irritating,Eczema]"
2SOL,Cica Youth Toner,Toner,South Korea,"[Water,Panthenol 10%,Glycerin,Butylene Glycol,Caprylic Acid,Sodium Dna,Glycine,Serine,Glutamic Acid,Aspartic Acid,Leucine,Alanine,Lysine,Arginine,Tyrosine,Phenylalanine,Proline,Threonine,Valine,Isoleucine,Histidine,Cysteine,Methionine,Palmitoyl Dipeptide-7,Palmitoyl Tripeptide-1,Palmitoyl Tetrapeptide-7,Palmitoyl Oligopeptide,Saccharide Isomerate,Betaine,Xylitol,Portulaca Oleracea Extract,1,2-Hexanediol,Polyglyceryl-10 Myristate,Tromethamine,Carbomer,Allantoin,Xanthan Gum,Sodium Hyaluronate,Hydroxyacetophenone,Ethylhexylglycerin]",[Reduces Irritation]
Tia’m,Vita B3 Mist Toner,Toner,South Korea,"[Water,Niacinamide,1,2-Hexanediol,Butylene Glycol,Propanediol,Vitis Vinifera Fruit Extract,Tranexamic Acid,Ethyl Ether,Panthenol,Glycerin,Beta-Glucan]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Acne Fighting,Brightening]"
Dr.Ceuracle,Tea Tree Purifine 70 Toner,Toner,South Korea,"[Melaleuca Alternifolia Leaf Extract 70%,Water,Butylene Glycol,1,2-Hexanediol,Niacinamide,Betaine Salicylate,Salix Alba Bark Extract,Methylpropanediol,Disodium EDTA,Hamamelis Virginiana Extract,Vitis Vinifera Fruit Extract,Pyrus Malus Fruit Extract,Saccharum Officinarum Extract,Citrus Limon Fruit Extract,Cucumis Sativus Extract,Citrus Aurantifolia Fruit Extract,Scutellaria Baicalensis Root Extract,Camellia Sinensis Leaf Extract,Aloe Barbadensis Leaf Extract]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Reduces Large Pores,Scar Healing,Acne Fighting,Brightening]"
Pixi Beauty,Retinol Tonic,Toner,United Kingdom,"[Water,Rosmarinus Officinalis Leaf Water,Glycerin,Propanediol,Peg-40 Hydrogenated Castor Oil,Methyl Gluceth-20,Caprylic/Capric Triglyceride,Peg-8,Panthenol,Magnesium Ascorbyl Phosphate,Sodium Hyaluronate,Lecithin,Polysorbate 20,Oenothera Biennis Flower Extract,Hibiscus Rosa-Sinensis Flower Extract,Sodium Acrylates Copolymer,Palmitoyl Tripeptide-28,Hydroxypropyl Cyclodextrin,Retinol,Phenoxyethanol,Jasminum Officinale Flower/Leaf Extract,Lavandula Angustifolia Flower/Leaf/Stem Extract,Eugenia Caryophyllus Flower Extract,Vitis Vinifera Fruit Extract,Sodium Citrate,Disodium EDTA,Citric Acid,Ethylhexylglycerin]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Scar Healing,Acne Fighting,Brightening,Drying,Irritating]"
